t,Parm,Delta,B0,B1,B2,S2
1.0,-1.0,0.0,2.4966951948087237,2.120715309080264,5.061844803235927,0.921312785951574
2.0,-1.0,0.0,2.725042919154982,1.9182177078828193,5.0021979691102905,0.8049028379455968
3.0,-1.0,0.0,3.1267554483565267,1.940925050827416,5.002862189301318,0.7356631096788718
4.0,-1.0,0.0,3.141420981284304,1.8655885076699263,4.981933409719866,0.4380100764144174
5.0,-1.0,0.0,2.658235805674431,1.9600591593499574,5.032099033160039,1.522223749624335
6.0,3.0,0.5,2.2463967471771045,2.1316496048589504,5.07676558319911,6.975463969963628
7.0,0.0,1.5,4.269358013303118,1.9733424113212426,4.993508052199904,0.5261177759505499
8.0,2.0,3.0,3.4736447617100468,2.076133850075651,5.127971430490175,0.8087823275326256
