Parm,Delta,ARL,SDRL,MRL,Phi
int,0.25,75.4355,42.187209433073434,67.0,0.25
int,0.5,27.4128,11.662941145354374,26.0,0.25
int,0.75,14.3692,5.062597293879891,14.0,0.25
int,1.0,9.332,2.7777645688574837,9.0,0.25
int,1.25,6.8773,1.795618197167761,7.0,0.25
int,1.5,5.4192,1.3600262350410743,5.0,0.25
int,1.75,4.4485,1.1921190167093216,4.0,0.25
int,2.0,3.7129,1.2085832987427885,4.0,0.25
int,2.25,3.0606,1.2729209087763467,3.0,0.25
int,2.5,2.4829,1.2566254772206393,3.0,0.25
int,2.75,1.9752,1.120350373767064,1.0,0.25
int,3.0,1.5688,0.9323446573022232,1.0,0.25
all,0.25,33.1034,17.444916406793126,30.0,0.25
all,0.5,7.1921,2.9841242584718217,7.0,0.25
all,0.75,3.5358,1.9054968800814134,4.0,0.25
all,1.0,2.0726,1.358576181154373,1.0,0.25
all,1.25,1.427,0.9022588320432223,1.0,0.25
all,1.5,1.1609,0.5612585767718833,1.0,0.25
all,1.75,1.0631,0.35088230220402966,1.0,0.25
all,2.0,1.0234,0.2150638044860176,1.0,0.25
