Parm,Delta,ARL,SDRL,MRL,Phi
0.0,0.0,78.8954,34.36200894650951,74.0,0.1
0.0,0.25,52.0517,21.480144950861018,49.0,0.1
0.0,0.5,27.4683,10.17966576612415,26.0,0.1
0.0,0.75,16.4792,5.472144676449993,16.0,0.1
0.0,1.0,11.219,3.2374741697811276,11.0,0.1
0.0,1.25,8.4288,2.2392254375118195,8.0,0.1
0.0,1.5,6.7689,1.6623154905131579,7.0,0.1
0.0,1.75,5.5986,1.4328566013387385,6.0,0.1
0.0,2.0,4.7152,1.3798872997458886,5.0,0.1
0.0,2.25,4.0841,1.3843508189761726,4.0,0.1
0.0,2.5,3.4856,1.4374952660791616,4.0,0.1
0.0,2.75,2.9021,1.4677586961077764,4.0,0.1
0.0,3.0,2.3814,1.4193428197584965,3.0,0.1
1.0,0.25,64.2565,27.13880814903263,61.0,0.1
1.0,0.5,41.7315,16.842434733434473,40.0,0.1
1.0,0.75,27.5447,10.208947149926873,26.0,0.1
1.0,1.0,19.2142,6.571371117202254,18.0,0.1
1.0,1.25,14.3358,4.539695844437158,14.0,0.1
1.0,1.5,11.2678,3.3762528282105886,11.0,0.1
1.0,1.75,9.245,2.5028733487733654,9.0,0.1
1.0,2.0,7.808,1.9931221738769553,8.0,0.1
1.0,2.25,6.76,1.6790473489452284,7.0,0.1
1.0,2.5,5.9659,1.49369916315167,6.0,0.1
1.0,2.75,5.2992,1.4107017260923729,5.0,0.1
1.0,3.0,4.7622,1.374936784001359,5.0,0.1
2.0,0.25,52.307,21.931018011027213,49.0,0.1
2.0,0.5,27.4107,10.221371019095237,26.0,0.1
2.0,0.75,16.3863,5.500024755398834,16.0,0.1
2.0,1.0,11.2645,3.3212256397300077,11.0,0.1
2.0,1.25,8.4308,2.1948146527668344,8.0,0.1
2.0,1.5,6.7233,1.6860418470488803,7.0,0.1
2.0,1.75,5.5929,1.421045245585094,6.0,0.1
2.0,2.0,4.7692,1.3550392466640957,5.0,0.1
2.0,2.25,4.0906,1.3754241673025815,4.0,0.1
2.0,2.5,3.5114,1.4305488597038551,4.0,0.1
2.0,2.75,2.9113,1.4683433896742275,4.0,0.1
2.0,3.0,2.3912,1.4216056274508766,3.0,0.1
3.0,1.25,37.4146,17.437434066972124,35.0,0.1
3.0,1.5,8.1784,3.400995948248101,8.0,0.1
3.0,1.75,3.9712,2.2002660202802753,4.0,0.1
3.0,2.0,2.278,1.6101912929835387,1.0,0.1
3.0,2.25,1.522,1.0727143142514692,1.0,0.1
3.0,2.5,1.1983,0.6543524356186045,1.0,0.1
3.0,2.75,1.0736,0.39240672777107166,1.0,0.1
3.0,3.0,1.0276,0.23587759537522845,1.0,0.1
