Parm,Delta,ARL,SDRL,MRL,Phi
int,0.25,59.8356,28.316803715108808,55.0,0.1
int,0.5,25.5023,9.805997894656107,24.0,0.1
int,0.75,14.3054,4.611651639055144,14.0,0.1
int,1.0,9.546,2.622762665587567,9.0,0.1
int,1.25,7.1498,1.7452105775521762,7.0,0.1
int,1.5,5.6983,1.3871110662091917,6.0,0.1
int,1.75,4.7614,1.2885146642549319,5.0,0.1
int,2.0,3.9538,1.3444945369915045,4.0,0.1
int,2.25,3.2791,1.4386115493766896,4.0,0.1
int,2.5,2.6705,1.467218371613442,3.0,0.1
int,2.75,2.0957,1.3582126159037102,1.0,0.1
int,3.0,1.5929,1.0690040177660698,1.0,0.1
all,0.25,32.3662,15.455468209019097,30.0,0.1
all,0.5,7.6342,3.062089214898873,8.0,0.1
all,0.75,3.8203,2.065915755784829,4.0,0.1
all,1.0,2.2291,1.5704818337058217,1.0,0.1
all,1.25,1.4768,1.033664239489787,1.0,0.1
all,1.5,1.1652,0.6077079561763199,1.0,0.1
all,1.75,1.0584,0.3506985029908169,1.0,0.1
all,2.0,1.0199,0.20224734856111212,1.0,0.1
