Parm,Delta,ARL,SDRL,MRL,Phi
0.0,0.0,122.5774,67.9075430952998,109.0,0.1
0.0,0.25,71.1981,35.06462114995683,65.0,0.1
0.0,0.5,32.7023,13.563291440870833,31.0,0.1
0.0,0.75,18.5204,6.416384015939196,18.0,0.1
0.0,1.0,12.3075,3.708388295472846,12.0,0.1
0.0,1.25,9.0832,2.4134783529172164,9.0,0.1
0.0,1.5,7.1755,1.759346398524179,7.0,0.1
0.0,1.75,5.9108,1.4104762883508535,6.0,0.1
0.0,2.0,5.0527,1.2944198352930165,5.0,0.1
0.0,2.25,4.3303,1.302383165585305,5.0,0.1
0.0,2.5,3.7507,1.3586572452241221,4.0,0.1
0.0,2.75,3.1878,1.438864538446896,4.0,0.1
0.0,3.0,2.6852,1.4652989319589362,4.0,0.1
1.0,0.25,92.0663,48.02822820290167,82.0,0.1
1.0,0.5,53.5198,24.83966199367455,49.0,0.1
1.0,0.75,33.064,13.559052474269727,31.0,0.1
1.0,1.0,22.0259,8.17003238610472,21.0,0.1
1.0,1.25,16.0137,5.326585426894043,15.0,0.1
1.0,1.5,12.3056,3.760400063822997,12.0,0.1
1.0,1.75,9.9594,2.7915858647012812,10.0,0.1
1.0,2.0,8.3404,2.1525630861835388,8.0,0.1
1.0,2.25,7.1534,1.7491336255415135,7.0,0.1
1.0,2.5,6.2806,1.460158772188833,6.0,0.1
1.0,2.75,5.5944,1.3284158385084093,6.0,0.1
1.0,3.0,5.0521,1.2787437546279552,5.0,0.1
2.0,0.25,70.2567,34.25225255527,64.0,0.1
2.0,0.5,32.6258,13.41939545434145,31.0,0.1
2.0,0.75,18.5637,6.553651067153332,18.0,0.1
2.0,1.0,12.2925,3.6980729779170125,12.0,0.1
2.0,1.25,9.0513,2.4361585149575142,9.0,0.1
2.0,1.5,7.1619,1.7684140889508881,7.0,0.1
2.0,1.75,5.9013,1.419280912997846,6.0,0.1
2.0,2.0,5.0205,1.294171453092673,5.0,0.1
2.0,2.25,4.3456,1.2939708806615393,5.0,0.1
2.0,2.5,3.7376,1.3662892226757848,4.0,0.1
2.0,2.75,3.1906,1.4425226653332002,4.0,0.1
2.0,3.0,2.6848,1.4620700940789397,4.0,0.1
3.0,1.25,44.2891,22.55938654285617,40.0,0.1
3.0,1.5,8.8581,3.5274019320173884,9.0,0.1
3.0,1.75,4.3457,2.2648159991487167,5.0,0.1
3.0,2.0,2.5421,1.7329822820790752,1.0,0.1
3.0,2.25,1.6686,1.2259584169130697,1.0,0.1
3.0,2.5,1.2536,0.7612404613523902,1.0,0.1
3.0,2.75,1.1029,0.47361544527179433,1.0,0.1
3.0,3.0,1.0412,0.2954700661657624,1.0,0.1
