ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
1.89706,0.9584692777549001,2.0,2.47833,0.1,0.01,2.25,"phi=0.1,phi2=0.01"
2.18776,1.0733620928652177,2.0,2.49,0.1,0.05,2.25,"phi=0.1,phi2=0.05"
4.27028,2.376760131271139,4.0,2.54,0.1,0.09,2.25,"phi=0.1,phi2=0.09"
2.15748,1.08148048969919,2.0,2.7,0.25,0.05,2.25,"phi=0.25,phi2=0.05"
2.32914,1.1401784335795866,2.0,2.703,0.25,0.1,2.25,"phi=0.25,phi2=0.1"
3.76534,1.8575130374777993,4.0,2.73,0.25,0.2,2.25,"phi=0.25,phi2=0.2"
1.6593,0.7899515871241731,1.0,2.47833,0.1,0.01,2.5,"phi=0.1,phi2=0.01"
1.89256,0.9007200710542649,2.0,2.49,0.1,0.05,2.5,"phi=0.1,phi2=0.05"
3.44128,1.9744649811024757,3.0,2.54,0.1,0.09,2.5,"phi=0.1,phi2=0.09"
1.86146,0.8930098926663691,2.0,2.7,0.25,0.05,2.5,"phi=0.25,phi2=0.05"
2.00794,0.956554732568921,2.0,2.703,0.25,0.1,2.5,"phi=0.25,phi2=0.1"
3.13752,1.5725546889059216,3.0,2.73,0.25,0.2,2.5,"phi=0.25,phi2=0.2"
1.47906,0.660001148786879,1.0,2.47833,0.1,0.01,2.75,"phi=0.1,phi2=0.01"
1.6685,0.7659554490960946,2.0,2.49,0.1,0.05,2.75,"phi=0.1,phi2=0.05"
2.81486,1.6298291874917445,3.0,2.54,0.1,0.09,2.75,"phi=0.1,phi2=0.09"
1.6415,0.7500251662444399,2.0,2.7,0.25,0.05,2.75,"phi=0.25,phi2=0.05"
1.75968,0.8126046379390164,2.0,2.703,0.25,0.1,2.75,"phi=0.25,phi2=0.1"
2.64716,1.348697124783767,2.0,2.73,0.25,0.2,2.75,"phi=0.25,phi2=0.2"
1.34216,0.553431598664189,1.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
1.49394,0.6535160873306793,1.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
2.3438,1.3552717661044962,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
1.47364,0.639550741067509,1.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
1.57006,0.6939247771913033,1.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
2.25136,1.1534201968060036,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
