Tau,ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
81,66.3125,57.622759772072705,51.0,2.73,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
91,60.8845,55.0792316554071,44.0,2.47833,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
91,55.4845,47.627999745422855,42.0,2.49,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
91,57.9275,42.367466808271644,50.0,2.54,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
91,80.2125,77.95005287842979,56.0,2.7,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
91,74.6067,70.91149705872807,52.0,2.703,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
91,65.7912,57.48413348533663,50.0,2.73,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
101,60.6517,55.229214978216014,45.0,2.47833,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
101,55.7367,47.98231521206538,43.0,2.49,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
101,57.5481,42.58139836113887,49.0,2.54,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
101,81.0272,78.43923801363702,57.0,2.7,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
101,74.3714,71.03403734858381,53.0,2.703,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
101,66.319,58.01859563105609,50.0,2.73,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
1,1.3362,0.5469639476236071,1.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
1,1.4829,0.6490821134494464,1.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
1,2.3208,1.3508098903990895,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
1,1.4657,0.6373566583946543,1.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
1,1.5597,0.6914014101808009,1.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
1,2.2376,1.1567827107974946,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
11,2.4479,0.9379155559004232,2.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
11,2.2451,1.0611437178817955,2.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
11,2.3008,1.368546440571163,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
11,1.9879,0.8005957719098946,2.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
11,1.9616,0.8702444713986984,2.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
11,1.974,1.0998745382997097,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
21,2.5315,0.9657161850150385,2.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
21,2.46,1.1629273408085306,2.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
21,2.2304,1.3921622893901415,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
21,1.9952,0.8022324850066844,2.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
21,1.975,0.8747428193474925,2.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
21,1.9003,1.0726415570916503,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
31,2.5545,0.9805252418984429,3.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
31,2.5249,1.200491561819574,2.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
31,2.1962,1.390936936025498,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
31,1.9905,0.8046177663959453,2.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
31,1.9586,0.8648040471690682,2.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
31,1.8534,1.0528572742779527,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
41,2.5505,0.9789023189266638,3.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
41,2.5585,1.215309734183019,2.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
41,2.1593,1.4175766328491732,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
41,1.9916,0.8041949017495695,2.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
41,1.9682,0.8814696591488558,2.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
41,1.845,1.0578161465963734,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
51,2.5559,0.9869524760595112,2.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
51,2.5691,1.216151795624214,2.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
51,2.1138,1.385225454574092,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
51,1.9895,0.8006183547733589,2.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
51,1.9649,0.8710154935476176,2.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
51,1.8517,1.0641931732538035,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
61,2.5626,0.9916053852213591,3.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
61,2.5714,1.2242148667615502,2.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
61,2.1394,1.4474003039933356,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
61,1.9904,0.8019400476344849,2.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
61,1.9739,0.887591567107304,2.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
61,1.8449,1.0594545719378439,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
71,2.5523,0.9743021656549882,3.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
71,2.5754,1.229518133253837,2.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
71,2.1161,1.439729415550019,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
71,2.0094,0.8160340924250652,2.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
71,1.9791,0.8817387311443227,2.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
71,1.862,1.060639429778094,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
81,2.5565,0.968094907537479,2.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
81,2.587,1.2271230582138044,2.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
81,2.1018,1.420224193569452,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
81,1.984,0.7970846880978206,2.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
81,1.9676,0.8736991701953254,2.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
81,1.835,1.0599882074815739,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
91,2.5604,0.9682726062426841,3.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
91,2.5607,1.217996514773339,2.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
91,2.1053,1.4359010794619524,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
91,1.9823,0.8041061559271885,2.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
91,1.9611,0.8694750082664827,2.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
91,1.8412,1.0580087712301822,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
101,2.5625,0.9684491468321916,3.0,2.47833,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
101,2.589,1.233077045443633,2.0,2.49,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
101,2.0834,1.4445914439730012,2.0,2.54,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
101,1.99,0.8016857239592083,2.0,2.7,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
101,1.9689,0.8877684326444594,2.0,2.703,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
101,1.8405,1.055206022537779,2.0,2.73,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
