Tau,ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
81,102.1921,82.45917655173376,83.0,2.75437,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
81,114.2087,93.85112969117634,92.0,2.74474,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
91,69.6028,52.11016246530038,60.0,2.50028,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
91,73.1616,54.79373399796732,63.0,2.52412,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
91,80.3789,61.209564079398575,68.0,2.58375,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
91,100.0381,80.88322352867745,81.0,2.772,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
91,104.8648,84.2364168335762,85.0,2.75437,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
91,116.2182,95.54497992443139,93.0,2.74474,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
101,69.3294,52.6213919964115,59.5,2.50028,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
101,74.0955,56.2841894296258,63.0,2.52412,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
101,82.0915,62.14874679146797,70.0,2.58375,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
101,101.8401,82.63676380395108,83.0,2.772,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
101,106.2665,86.18850780556535,86.0,2.75437,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
101,118.8967,97.96461723045724,95.0,2.74474,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
1,1.7239,1.1283035008365436,1.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
1,1.7699,1.1746292989705305,1.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
1,1.8617,1.250429170325133,1.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
1,1.8732,1.1122597538345078,1.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
1,1.8795,1.136564890360423,1.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
1,1.9435,1.2342235413408704,1.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
11,3.578,1.3284261364486925,4.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
11,4.1217,1.4253031642426113,4.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
11,4.7912,1.5398060137562781,5.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
11,2.846,1.5413254036704904,3.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
11,3.3375,1.8203279237543988,3.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
11,4.7992,2.41596344343204,5.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
21,3.7328,1.7478570193239493,4.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
21,4.6125,1.9918192061530082,5.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
21,5.7494,2.245127978534854,6.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
21,2.6762,1.8112850576317359,2.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
21,3.4124,2.3709336220147543,3.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
21,5.8115,3.5647395066119487,6.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
31,3.7396,2.0346969897259886,4.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
31,4.9189,2.458479772135618,5.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
31,6.4834,2.8816877762866677,7.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
31,2.5884,1.9057768599707574,2.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
31,3.4019,2.6454444598214493,3.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
31,6.6826,4.497183256217163,7.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
41,3.6724,2.2228086377374012,3.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
41,5.0667,2.834263768600234,5.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
41,7.0534,3.448180453514578,7.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
41,2.5202,1.987861152092872,2.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
41,3.4722,2.8952076194981253,2.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
