ARL,SDRL,MRL,L,Phi,Delta,Parameter_string
199.29843333333332,151.877329570761,164.0,12.84047,0.1,0.0,phi=0.1
198.3059,176.4900661751911,146.0,14.53484,0.25,0.0,phi=0.25
76.7462,51.296670316503,66.0,12.84047,0.1,0.25,phi=0.1
98.9116,81.53406313993352,77.0,14.53484,0.25,0.25,phi=0.25
32.33983333333333,18.237774351755633,29.0,12.84047,0.1,0.5,phi=0.1
39.96946666666667,27.65271778774898,33.0,14.53484,0.25,0.5,phi=0.25
18.308866666666667,9.211536320409436,17.0,12.84047,0.1,0.75,phi=0.1
21.0228,12.1697198061418,18.0,14.53484,0.25,0.75,phi=0.25
12.236833333333333,5.588184854872127,12.0,12.84047,0.1,1.0,phi=0.1
13.323333333333334,6.733339108908414,12.0,14.53484,0.25,1.0,phi=0.25
8.971,3.819174299941459,9.0,12.84047,0.1,1.25,phi=0.1
9.500266666666667,4.270370779634429,9.0,14.53484,0.25,1.25,phi=0.25
6.994033333333333,2.887420601890591,7.0,12.84047,0.1,1.5,phi=0.1
7.298733333333334,3.0592850573658907,7.0,14.53484,0.25,1.5,phi=0.25
5.7021,2.3680840898639275,6.0,12.84047,0.1,1.75,phi=0.1
5.867966666666667,2.342676645539362,6.0,14.53484,0.25,1.75,phi=0.25
4.802766666666667,2.0300736469946656,5.0,12.84047,0.1,2.0,phi=0.1
4.858866666666667,1.9431112634695478,5.0,14.53484,0.25,2.0,phi=0.25
4.076233333333334,1.8493661469691596,4.0,12.84047,0.1,2.25,phi=0.1
4.136266666666667,1.6963779243500614,4.0,14.53484,0.25,2.25,phi=0.25
3.5044666666666666,1.7278252367901357,4.0,12.84047,0.1,2.5,phi=0.1
3.5502666666666665,1.5450587676705232,4.0,14.53484,0.25,2.5,phi=0.25
3.0217,1.6344303115560885,4.0,12.84047,0.1,2.75,phi=0.1
3.0537,1.4348808231580303,3.0,14.53484,0.25,2.75,phi=0.25
2.602133333333333,1.531024313617811,3.0,12.84047,0.1,3.0,phi=0.1
2.6473333333333335,1.3479464216190329,3.0,14.53484,0.25,3.0,phi=0.25
