ARL,SDRL,MRL,L,Phi,k,Delta,Parameter_string
197.9886,156.71936554461502,162.0,11.67125,0.1,,0.0,"phi=0.1,k=-0.05"
196.86826666666667,167.56107775871524,150.0,14.10093,0.25,,0.0,"phi=0.25,k=-0.125"
70.70543333333333,49.09245899808736,61.0,11.67125,0.1,,0.25,"phi=0.1,k=-0.05"
86.75476666666667,65.28171536205389,70.0,14.10093,0.25,,0.25,"phi=0.25,k=-0.125"
29.63746666666667,17.742575054997577,26.0,11.67125,0.1,,0.5,"phi=0.1,k=-0.05"
35.43716666666667,21.80852551883221,31.0,14.10093,0.25,,0.5,"phi=0.25,k=-0.125"
16.853366666666666,8.997781133825285,15.0,11.67125,0.1,,0.75,"phi=0.1,k=-0.05"
19.607566666666667,10.312456678481396,18.0,14.10093,0.25,,0.75,"phi=0.25,k=-0.125"
11.283866666666666,5.4301092421996655,11.0,11.67125,0.1,,1.0,"phi=0.1,k=-0.05"
12.9263,6.080449679916774,12.0,14.10093,0.25,,1.0,"phi=0.25,k=-0.125"
8.373233333333333,3.7813749984481686,8.0,11.67125,0.1,,1.25,"phi=0.1,k=-0.05"
9.386266666666666,4.053352282850442,9.0,14.10093,0.25,,1.25,"phi=0.25,k=-0.125"
6.598833333333333,2.9264595171564487,7.0,11.67125,0.1,,1.5,"phi=0.1,k=-0.05"
7.320966666666667,2.9616009857657883,7.0,14.10093,0.25,,1.5,"phi=0.25,k=-0.125"
5.390833333333333,2.427773185223218,6.0,11.67125,0.1,,1.75,"phi=0.1,k=-0.05"
5.9425333333333334,2.339978115757116,6.0,14.10093,0.25,,1.75,"phi=0.25,k=-0.125"
4.5143,2.125792913244373,5.0,11.67125,0.1,,2.0,"phi=0.1,k=-0.05"
4.9901,2.0126107398103588,5.0,14.10093,0.25,,2.0,"phi=0.25,k=-0.125"
3.828666666666667,1.9445080497533445,4.0,11.67125,0.1,,2.25,"phi=0.1,k=-0.05"
4.230366666666667,1.7942773472595837,4.0,14.10093,0.25,,2.25,"phi=0.25,k=-0.125"
3.279333333333333,1.7973423590277828,4.0,11.67125,0.1,,2.5,"phi=0.1,k=-0.05"
3.643266666666667,1.643372952869257,4.0,14.10093,0.25,,2.5,"phi=0.25,k=-0.125"
2.8046,1.6703349484459697,3.0,11.67125,0.1,,2.75,"phi=0.1,k=-0.05"
3.1318,1.5488367979444015,4.0,14.10093,0.25,,2.75,"phi=0.25,k=-0.125"
2.3953,1.5346567184010023,1.0,11.67125,0.1,,3.0,"phi=0.1,k=-0.05"
2.7173333333333334,1.4577721205852292,3.0,14.10093,0.25,,3.0,"phi=0.25,k=-0.125"
