ARL,SDRL,MRL,L,Phi,k,Delta,Parameter_string
200.7619,199.05440112790774,138.0,10.45,0.1,,0.0,"phi=0.1,k=-0.05"
209.4657,203.0581991043701,146.0,11.75,0.25,,0.0,"phi=0.25,k=-0.125"
14.2374,10.195432371410247,12.0,10.45,0.1,,0.25,"phi=0.1,k=-0.05"
19.5776,16.278819927746603,15.0,11.75,0.25,,0.25,"phi=0.25,k=-0.125"
4.6013,2.6267352950002407,4.0,10.45,0.1,,0.5,"phi=0.1,k=-0.05"
5.2071,3.083051992750041,5.0,11.75,0.25,,0.5,"phi=0.25,k=-0.125"
2.4461,1.2778477178443446,2.0,10.45,0.1,,0.75,"phi=0.1,k=-0.05"
2.6696,1.3567003501142025,3.0,11.75,0.25,,0.75,"phi=0.25,k=-0.125"
1.6154,0.7699888570622305,1.0,10.45,0.1,,1.0,"phi=0.1,k=-0.05"
1.7549,0.8134039525352701,2.0,11.75,0.25,,1.0,"phi=0.25,k=-0.125"
1.2232,0.45845584302089554,1.0,10.45,0.1,,1.25,"phi=0.1,k=-0.05"
1.2929,0.5098132893520921,1.0,11.75,0.25,,1.25,"phi=0.25,k=-0.125"
1.0629,0.24686755558396087,1.0,10.45,0.1,,1.5,"phi=0.1,k=-0.05"
1.0913,0.2921717132098863,1.0,11.75,0.25,,1.5,"phi=0.25,k=-0.125"
1.0132,0.11413045167701738,1.0,10.45,0.1,,1.75,"phi=0.1,k=-0.05"
1.0193,0.1375772873696818,1.0,11.75,0.25,,1.75,"phi=0.25,k=-0.125"
1.0014,0.037390373092548834,1.0,10.45,0.1,,2.0,"phi=0.1,k=-0.05"
1.0022,0.046852534616603186,1.0,11.75,0.25,,2.0,"phi=0.25,k=-0.125"
1.0,0.0,1.0,10.45,0.1,,2.25,"phi=0.1,k=-0.05"
1.0002,0.014140721339450825,1.0,11.75,0.25,,2.25,"phi=0.25,k=-0.125"
1.0,0.0,1.0,10.45,0.1,,2.5,"phi=0.1,k=-0.05"
1.0,0.0,1.0,11.75,0.25,,2.5,"phi=0.25,k=-0.125"
1.0,0.0,1.0,10.45,0.1,,2.75,"phi=0.1,k=-0.05"
1.0,0.0,1.0,11.75,0.25,,2.75,"phi=0.25,k=-0.125"
1.0,0.0,1.0,10.45,0.1,,3.0,"phi=0.1,k=-0.05"
1.0,0.0,1.0,11.75,0.25,,3.0,"phi=0.25,k=-0.125"
