ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
1.04785,0.21461681551080752,1.0,8.775,0.1,0.01,2.25,"phi=0.1,phi2=0.01"
1.09445,0.2963599121001354,1.0,8.775,0.1,0.05,2.25,"phi=0.1,phi2=0.05"
1.3439,0.602853871182727,1.0,9.0,0.1,0.09,2.25,"phi=0.1,phi2=0.09"
1.08065,0.2737618992847617,1.0,10.0,0.25,0.05,2.25,"phi=0.25,phi2=0.05"
1.1118,0.31890556595958,1.0,10.125,0.25,0.1,2.25,"phi=0.25,phi2=0.1"
1.36165,0.5836602414932852,1.0,10.35,0.25,0.2,2.25,"phi=0.25,phi2=0.2"
1.01695,0.12908407144183204,1.0,8.775,0.1,0.01,2.5,"phi=0.1,phi2=0.01"
1.03595,0.18643389579151104,1.0,8.775,0.1,0.05,2.5,"phi=0.1,phi2=0.05"
1.15315,0.39521522933712966,1.0,9.0,0.1,0.09,2.5,"phi=0.1,phi2=0.09"
1.02885,0.16738481860670637,1.0,10.0,0.25,0.05,2.5,"phi=0.25,phi2=0.05"
1.0439,0.20536014705877084,1.0,10.125,0.25,0.1,2.5,"phi=0.25,phi2=0.1"
1.17745,0.410196900890292,1.0,10.35,0.25,0.2,2.5,"phi=0.25,phi2=0.2"
1.00465,0.06803217988569822,1.0,8.775,0.1,0.01,2.75,"phi=0.1,phi2=0.01"
1.01045,0.10168971186899883,1.0,8.775,0.1,0.05,2.75,"phi=0.1,phi2=0.05"
1.05845,0.2415234926461606,1.0,9.0,0.1,0.09,2.75,"phi=0.1,phi2=0.09"
1.0084,0.09126576576131931,1.0,10.0,0.25,0.05,2.75,"phi=0.25,phi2=0.05"
1.01535,0.12334657473963352,1.0,10.125,0.25,0.1,2.75,"phi=0.25,phi2=0.1"
1.06635,0.2530764262036272,1.0,10.35,0.25,0.2,2.75,"phi=0.25,phi2=0.2"
1.0005,0.022355088906108163,1.0,8.775,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
1.00245,0.049436803092433076,1.0,8.775,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
1.0203,0.1417318242315395,1.0,9.0,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
1.00175,0.04179638142231933,1.0,10.0,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
1.00275,0.05236828715931046,1.0,10.125,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
1.0246,0.15586802109477108,1.0,10.35,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
