ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
4.968766666666666,1.9681948952163137,5.0,14.49922,0.25,0.05,2.0,"phi=0.25,phi2=0.05"
5.115933333333333,2.0289470493063364,5.0,14.5425,0.25,0.1,2.0,"phi=0.25,phi2=0.1"
5.515433333333333,2.264706414870492,5.0,14.53281,0.25,0.2,2.0,"phi=0.25,phi2=0.2"
4.0768,1.8579473691864006,4.0,12.84562,0.1,0.01,2.25,"phi=0.1,phi2=0.01"
4.237933333333333,1.8799612750148753,5.0,13.095,0.1,0.05,2.25,"phi=0.1,phi2=0.05"
4.431766666666666,1.945698900709517,5.0,13.44062,0.1,0.09,2.25,"phi=0.1,phi2=0.09"
4.225766666666667,1.7211418919491275,4.0,14.49922,0.25,0.05,2.25,"phi=0.25,phi2=0.05"
4.338266666666667,1.7850235280117612,4.0,14.5425,0.25,0.1,2.25,"phi=0.25,phi2=0.1"
4.664,1.9781904188761337,5.0,14.53281,0.25,0.2,2.25,"phi=0.25,phi2=0.2"
3.5230333333333332,1.7379881469356713,4.0,12.84562,0.1,0.01,2.5,"phi=0.1,phi2=0.01"
3.6503,1.7724587188422753,4.0,13.095,0.1,0.05,2.5,"phi=0.1,phi2=0.05"
3.8049,1.8145438334009276,4.0,13.44062,0.1,0.09,2.5,"phi=0.1,phi2=0.09"
3.6087333333333333,1.5921611294784905,4.0,14.49922,0.25,0.05,2.5,"phi=0.25,phi2=0.05"
3.7114,1.6233227364472744,4.0,14.5425,0.25,0.1,2.5,"phi=0.25,phi2=0.1"
4.002866666666667,1.7786301233127577,4.0,14.53281,0.25,0.2,2.5,"phi=0.25,phi2=0.2"
3.0291333333333332,1.6436396347401974,4.0,12.84562,0.1,0.01,2.75,"phi=0.1,phi2=0.01"
3.1499,1.6740858171949649,4.0,13.095,0.1,0.05,2.75,"phi=0.1,phi2=0.05"
3.3142666666666667,1.7200299790669025,4.0,13.44062,0.1,0.09,2.75,"phi=0.1,phi2=0.09"
3.1210333333333335,1.4708674081038786,4.0,14.49922,0.25,0.05,2.75,"phi=0.25,phi2=0.05"
3.2237,1.528198823233853,4.0,14.5425,0.25,0.1,2.75,"phi=0.25,phi2=0.1"
3.4543,1.6830462986303536,4.0,14.53281,0.25,0.2,2.75,"phi=0.25,phi2=0.2"
2.6249333333333333,1.5458304118570774,3.0,12.84562,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
2.7270666666666665,1.5877575577594405,3.0,13.095,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
2.8607,1.635205036073458,4.0,13.44062,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
2.69,1.3922044868959924,3.0,14.49922,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
2.7895333333333334,1.4475394464016822,3.0,14.5425,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
2.9612,1.5933281394615484,4.0,14.53281,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
