ARL,SDRL,MRL,L,Phi,Delta,Parameter_string
200.86736666666667,199.9408967046651,139.0,12.93906,0.1,0.0,phi=0.1
199.3204,194.31539296679506,139.0,14.20377,0.25,0.0,phi=0.25
91.4846,89.3805088531051,65.0,12.93906,0.1,0.25,phi=0.1
124.73106666666666,124.43918625120554,86.0,14.20377,0.25,0.25,phi=0.25
32.1099,26.972822531639757,25.0,12.93906,0.1,0.5,phi=0.1
51.838433333333334,48.79957577901904,37.0,14.20377,0.25,0.5,phi=0.25
15.633466666666667,11.289779447899868,13.0,12.93906,0.1,0.75,phi=0.1
23.286466666666666,20.11057110532225,17.0,14.20377,0.25,0.75,phi=0.25
9.5453,6.121798312315317,8.0,12.93906,0.1,1.0,phi=0.1
12.660066666666667,9.5089665752325,10.0,14.20377,0.25,1.0,phi=0.25
6.532466666666667,3.915509236641158,6.0,12.93906,0.1,1.25,phi=0.1
8.012466666666667,5.32497679953214,7.0,14.20377,0.25,1.25,phi=0.25
4.8636333333333335,2.760405308203046,4.0,12.93906,0.1,1.5,phi=0.1
5.6894,3.4628400155556327,5.0,14.20377,0.25,1.5,phi=0.25
3.8082666666666665,2.066261921656809,3.0,12.93906,0.1,1.75,phi=0.1
4.316966666666667,2.414973871264219,4.0,14.20377,0.25,1.75,phi=0.25
3.0796333333333332,1.5991534840519703,3.0,12.93906,0.1,2.0,phi=0.1
3.4593666666666665,1.8236087662166527,3.0,14.20377,0.25,2.0,phi=0.25
2.581733333333333,1.284154583979497,2.0,12.93906,0.1,2.25,phi=0.1
2.8471,1.4097239410608022,3.0,14.20377,0.25,2.25,phi=0.25
2.2033666666666667,1.0556555619876948,2.0,12.93906,0.1,2.5,phi=0.1
2.4344333333333332,1.160991391967323,2.0,14.20377,0.25,2.5,phi=0.25
1.9279,0.8877508603206196,2.0,12.93906,0.1,2.75,phi=0.1
2.099666666666667,0.9745425707593395,2.0,14.20377,0.25,2.75,phi=0.25
1.7262666666666666,0.7704566149729365,2.0,12.93906,0.1,3.0,phi=0.1
1.8565333333333334,0.8269727820322881,2.0,14.20377,0.25,3.0,phi=0.25
