ARL,SDRL,MRL,L,Phi,Delta,Parameter_string
198.5655,198.0326417784452,137.0,8.775,0.1,0.0,phi=0.1
197.7665,193.55069976042452,137.0,9.9,0.25,0.0,phi=0.25
24.97105,20.554819675625957,20.0,8.775,0.1,0.25,phi=0.1
37.7586,35.02131816536893,27.0,9.9,0.25,0.25,phi=0.25
7.7449,5.05359515493673,7.0,8.775,0.1,0.5,phi=0.1
9.77165,7.097429554247086,8.0,9.9,0.25,0.5,phi=0.25
4.0187,2.3608367817365092,4.0,8.775,0.1,0.75,phi=0.1
4.70185,2.8483076690378795,4.0,9.9,0.25,0.75,phi=0.25
2.5821,1.3677936942390105,2.0,8.775,0.1,1.0,phi=0.1
2.91515,1.5516927780652972,3.0,9.9,0.25,1.0,phi=0.25
1.89065,0.907960669577708,2.0,8.775,0.1,1.25,phi=0.1
2.06535,1.002287073397637,2.0,9.9,0.25,1.25,phi=0.25
1.4975,0.6525287349994635,1.0,8.775,0.1,1.5,phi=0.1
1.60365,0.7095468113521475,1.0,9.9,0.25,1.5,phi=0.25
1.2624,0.4758636779582993,1.0,8.775,0.1,1.75,phi=0.1
1.32455,0.5204010929081531,1.0,9.9,0.25,1.75,phi=0.25
1.12335,0.3365037555511083,1.0,8.775,0.1,2.0,phi=0.1
1.1605,0.37661618393266105,1.0,9.9,0.25,2.0,phi=0.25
1.0462,0.21086858466827152,1.0,8.775,0.1,2.25,phi=0.1
1.06915,0.2556722071324922,1.0,9.9,0.25,2.25,phi=0.25
1.0155,0.12353036064061339,1.0,8.775,0.1,2.5,phi=0.1
1.02415,0.15384010367911222,1.0,9.9,0.25,2.5,phi=0.25
1.0035,0.059057175685940155,1.0,8.775,0.1,2.75,phi=0.1
1.0069,0.0827791640450663,1.0,9.9,0.25,2.75,phi=0.25
1.00115,0.03389214510767944,1.0,8.775,0.1,3.0,phi=0.1
1.00115,0.03389214510767944,1.0,9.9,0.25,3.0,phi=0.25
