ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
198.20293333333333,149.3078391045233,165.0,8.775,0.1,0.01,0.0,"phi=0.1,phi2=0.01"
201.0353,153.04778966249944,166.0,8.960625,0.1,0.05,0.0,"phi=0.1,phi2=0.05"
198.12923333333333,155.34647640702664,160.0,9.296875,0.1,0.09,0.0,"phi=0.1,phi2=0.09"
200.4414,178.3518558899047,149.0,10.296875,0.25,0.05,0.0,"phi=0.25,phi2=0.05"
202.4905,180.3396718503262,150.0,10.3125,0.25,0.1,0.0,"phi=0.25,phi2=0.1"
200.46393333333333,182.25307377159803,145.0,10.29688,0.25,0.2,0.0,"phi=0.25,phi2=0.2"
66.8899,45.46077552487785,57.0,8.775,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
69.0674,47.206089196628014,59.0,8.960625,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
72.79033333333334,50.9916513417202,61.0,9.296875,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
85.0877,69.7535175364655,66.0,10.296875,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
89.3725,74.6082587726274,69.0,10.3125,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
99.7309,86.46533998385326,75.0,10.29688,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
27.272966666666665,15.956521839012689,24.0,8.775,0.1,0.01,0.5,"phi=0.1,phi2=0.01"
28.226766666666666,16.520042681912845,25.0,8.960625,0.1,0.05,0.5,"phi=0.1,phi2=0.05"
29.995633333333334,17.699284757645497,27.0,9.296875,0.1,0.09,0.5,"phi=0.1,phi2=0.09"
32.50013333333333,22.453504551603718,27.0,10.296875,0.25,0.05,0.5,"phi=0.25,phi2=0.05"
34.85296666666667,24.325589020594936,29.0,10.3125,0.25,0.1,0.5,"phi=0.25,phi2=0.1"
40.12263333333333,30.035968344617903,32.0,10.29688,0.25,0.2,0.5,"phi=0.25,phi2=0.2"
15.339933333333333,8.065083921585828,14.0,8.775,0.1,0.01,0.75,"phi=0.1,phi2=0.01"
15.939066666666667,8.308555056620188,15.0,8.960625,0.1,0.05,0.75,"phi=0.1,phi2=0.05"
16.952366666666666,8.932112351821127,15.0,9.296875,0.1,0.09,0.75,"phi=0.1,phi2=0.09"
17.505366666666667,10.279265758419822,15.0,10.296875,0.25,0.05,0.75,"phi=0.25,phi2=0.05"
18.2892,11.030220458358935,16.0,10.3125,0.25,0.1,0.75,"phi=0.25,phi2=0.1"
20.9534,13.58220754418564,18.0,10.29688,0.25,0.2,0.75,"phi=0.25,phi2=0.2"
10.262266666666667,4.942605540490652,10.0,8.775,0.1,0.01,1.0,"phi=0.1,phi2=0.01"
10.570533333333334,5.017053422965405,10.0,8.960625,0.1,0.05,1.0,"phi=0.1,phi2=0.05"
11.278133333333333,5.383292844429781,10.0,9.296875,0.1,0.09,1.0,"phi=0.1,phi2=0.09"
11.261766666666666,5.798515173061309,10.0,10.296875,0.25,0.05,1.0,"phi=0.25,phi2=0.05"
11.639766666666667,6.051209130872569,10.0,10.3125,0.25,0.1,1.0,"phi=0.25,phi2=0.1"
13.120166666666666,7.389068049415223,12.0,10.29688,0.25,0.2,1.0,"phi=0.25,phi2=0.2"
