ARL,SDRL,MRL,L,Phi,Delta,Parameter_string
197.6718,109.9755413024187,188.0,9.0,0.1,0.0,phi=0.1
213.9902,163.14280524730472,171.5,12.15,0.25,0.0,phi=0.25
16.2769,8.581621431291408,15.0,9.0,0.1,0.25,phi=0.1
20.4984,11.496216657666121,18.0,12.15,0.25,0.25,phi=0.25
5.9741,2.935392510380852,6.0,9.0,0.1,0.5,phi=0.1
6.94355,2.9838336745703504,7.0,12.15,0.25,0.5,phi=0.25
3.2706,1.8699934866196726,4.0,9.0,0.1,0.75,phi=0.1
3.8532,1.7072052483518203,4.0,12.15,0.25,0.75,phi=0.25
1.99775,1.3543060723115732,1.0,9.0,0.1,1.0,phi=0.1
2.41125,1.3179997866084805,3.0,12.15,0.25,1.0,phi=0.25
1.32045,0.797785558593285,1.0,9.0,0.1,1.25,phi=0.1
1.60835,0.9630473910976551,1.0,12.15,0.25,1.25,phi=0.25
1.0758,0.38659327464403725,1.0,9.0,0.1,1.5,phi=0.1
1.2005,0.5999997916666304,1.0,12.15,0.25,1.5,phi=0.25
1.0139,0.16615291150022016,1.0,9.0,0.1,1.75,phi=0.1
1.0417,0.2813558423064998,1.0,12.15,0.25,1.75,phi=0.25
1.0008,0.039991999199839964,1.0,9.0,0.1,2.0,phi=0.1
1.0044,0.08763926060847388,1.0,12.15,0.25,2.0,phi=0.25
1.0002,0.019998999974998755,1.0,9.0,0.1,2.25,phi=0.1
1.00025,0.021211730245314735,1.0,12.15,0.25,2.25,phi=0.25
1.0001,0.014141782065920828,1.0,9.0,0.1,2.5,phi=0.1
1.0,0.0,1.0,12.15,0.25,2.5,phi=0.25
1.0,0.0,1.0,9.0,0.1,2.75,phi=0.1
1.0,0.0,1.0,12.15,0.25,2.75,phi=0.25
1.0,0.0,1.0,9.0,0.1,3.0,phi=0.1
1.0,0.0,1.0,12.15,0.25,3.0,phi=0.25
