ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
199.58146666666667,197.7616832533093,137.0,10.93125,0.1,0.01,0.0,"phi=0.1,phi2=0.01"
198.57893333333334,195.4634418577096,137.0,11.0,0.1,0.05,0.0,"phi=0.1,phi2=0.05"
200.8197,147.00233056625328,161.0,11.0,0.1,0.09,0.0,"phi=0.1,phi2=0.09"
197.7295,191.66563784296338,139.0,12.23203,0.25,0.05,0.0,"phi=0.25,phi2=0.05"
201.2068,193.28626481748088,141.0,12.35156,0.25,0.1,0.0,"phi=0.25,phi2=0.1"
228.13496666666666,204.35680598077852,165.0,12.75,0.25,0.2,0.0,"phi=0.25,phi2=0.2"
79.20543333333333,75.39386290549267,57.0,10.93125,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
70.47513333333333,62.14264758051072,53.0,11.0,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
89.82016666666667,45.59068501319345,82.0,11.0,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
110.20436666666667,107.33153715287455,79.0,12.23203,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
105.2742,101.14135626781625,74.0,12.35156,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
107.93676666666667,87.89919549240608,82.0,12.75,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
27.870366666666666,22.881595847585068,22.0,10.93125,0.1,0.01,0.5,"phi=0.1,phi2=0.01"
26.284566666666667,18.744794525740268,22.0,11.0,0.1,0.05,0.5,"phi=0.1,phi2=0.05"
48.09896666666667,18.939976388551514,46.0,11.0,0.1,0.09,0.5,"phi=0.1,phi2=0.09"
41.73113333333333,38.37210502499034,30.0,12.23203,0.25,0.05,0.5,"phi=0.25,phi2=0.05"
39.31203333333333,34.05567698929048,29.0,12.35156,0.25,0.1,0.5,"phi=0.25,phi2=0.1"
44.226333333333336,27.27368768408278,38.0,12.75,0.25,0.2,0.5,"phi=0.25,phi2=0.2"
13.823,9.729450361317094,12.0,10.93125,0.1,0.01,0.75,"phi=0.1,phi2=0.01"
14.2436,8.65199740175643,13.0,11.0,0.1,0.05,0.75,"phi=0.1,phi2=0.05"
31.735166666666668,11.639577453909379,31.0,11.0,0.1,0.09,0.75,"phi=0.1,phi2=0.09"
19.013966666666665,15.299840029628486,15.0,12.23203,0.25,0.05,0.75,"phi=0.25,phi2=0.05"
18.779866666666667,13.775628527060228,15.0,12.35156,0.25,0.1,0.75,"phi=0.25,phi2=0.1"
25.5667,12.323831294555548,23.0,12.75,0.25,0.2,0.75,"phi=0.25,phi2=0.2"
8.655166666666666,5.587168928794697,8.0,10.93125,0.1,0.01,1.0,"phi=0.1,phi2=0.01"
9.3761,5.212233889929857,8.0,11.0,0.1,0.05,1.0,"phi=0.1,phi2=0.05"
22.9538,8.275816106382903,23.0,11.0,0.1,0.09,1.0,"phi=0.1,phi2=0.09"
10.926366666666667,7.669750852030477,9.0,12.23203,0.25,0.05,1.0,"phi=0.25,phi2=0.05"
