ARL,SDRL,MRL,L,Phi,Phi2
36.496,139.5861238948915,1.0,2.798,0.1,0.01
25.046,105.40648881354505,1.0,2.798,0.1,0.02
9.84,66.65465025037639,1.0,2.798,0.1,0.05
1.122,0.5395516657373972,1.0,2.798,0.1,0.09
47.072,120.78077171470632,1.0,2.798,0.2,0.01
48.51,119.50684457385694,1.0,2.798,0.2,0.02
15.184,61.99327499011485,1.0,2.798,0.2,0.1
5.328,43.41557803369662,1.0,2.798,0.2,0.15
