p,\phi_1,\phi_2,L
2,0.1,0.01,8.775
,0.1,0.05,8.960625
,0.1,0.09,9.296875
2,0.25,0.05,10.296875
,0.25,0.1,10.3125
,0.25,0.2,10.29688
3,0.1,0.01,10.85625
,0.1,0.05,11.1625
,0.1,0.09,11.484375
3,0.25,0.05,12.55375
,0.25,0.1,12.478125
,0.25,0.2,12.55375
4,0.1,0.01,12.84562
,0.1,0.05,13.095
,0.1,0.09,13.44062
4,0.25,0.05,14.49922
,0.25,0.1,14.5425
,0.25,0.2,14.53281
